date,weekday,state_fips,state_name,state_code,covid,submetric,metric,n_grade,grade,last_updated
2020-03-28,7,02,Alaska,AK,POST,visitations,-0.50435848373047909,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,02,Alaska,AK,POST,total,-0.49770334377334258,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,02,Alaska,AK,POST,travel distance,-0.49104820381620606,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,01,Alabama,AL,POST,visitations,-0.53445757560188745,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,01,Alabama,AL,POST,total,-0.43694279736525166,1.5,D-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,01,Alabama,AL,POST,travel distance,-0.33942801912861587,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,05,Arkansas,AR,POST,visitations,-0.539719298059434,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,05,Arkansas,AR,POST,total,-0.45742352921115353,1.5,D-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,05,Arkansas,AR,POST,travel distance,-0.3751277603628731,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,04,Arizona,AZ,POST,visitations,-0.58143870241960416,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,04,Arizona,AZ,POST,total,-0.46684706738426646,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,04,Arizona,AZ,POST,travel distance,-0.35225543234892875,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,06,California,CA,POST,visitations,-0.68230820006934179,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,06,California,CA,POST,total,-0.58167062031041494,3.5,B-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,06,California,CA,POST,travel distance,-0.48103304055148816,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,08,Colorado,CO,POST,visitations,-0.70104060834850312,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,08,Colorado,CO,POST,total,-0.60518075220460221,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,08,Colorado,CO,POST,travel distance,-0.50932089606070141,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,09,Connecticut,CT,POST,visitations,-0.66119400566466291,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,09,Connecticut,CT,POST,total,-0.59032023993981775,3.5,B-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,09,Connecticut,CT,POST,travel distance,-0.5194464742149727,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,11,District of Columbia,DC,POST,visitations,-0.78241531214613558,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,11,District of Columbia,DC,POST,travel distance,-0.6758877929442465,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,11,District of Columbia,DC,POST,total,-0.729151552545191,4.5,A-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,10,Delaware,DE,POST,visitations,-0.73135142497528094,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,10,Delaware,DE,POST,total,-0.62446505727601109,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,10,Delaware,DE,POST,travel distance,-0.51757868957674114,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,12,Florida,FL,POST,visitations,-0.64346191175571721,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,12,Florida,FL,POST,total,-0.570930650127983,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,12,Florida,FL,POST,travel distance,-0.4983993885002489,3,C,2020-04-01 14:44:30.282826 UTC
