countyFIP,unemployment rate,household income
1000,3.9,49881
1001,3.6,59338
1003,3.6,57588
1005,5.2,34382
1007,4,46064
1009,3.5,50412
1011,4.7,29267
1013,4.8,37365
1015,4.7,45400
1017,3.9,39917
1019,3.6,42132
1021,3.6,47547
1023,5.5,39907
1025,7.5,40741
1027,3.9,39201
1029,4.2,46495
1031,3.9,55122
1033,4.6,49055
1035,5.2,32613
1037,4.2,42423
1039,4.6,40203
1041,4.1,39057
1043,3.3,45796
1045,4.2,45309
1047,6.5,34035
1049,3.8,39491
1051,3.4,60367
1053,4.6,38418
1055,4.1,44903
1057,4.1,39254
1059,3.7,39388
1061,3.9,37823
1063,6.7,28524
1065,5.1,34724
1067,4.4,46027
1069,4,47993
1071,4.1,41929
1073,3.7,55013
1075,3.8,40936
1077,4.2,48707
1079,4.2,43909
1081,3.6,48937
1083,3.5,64863
1085,7.3,33973
1087,5.5,32495
1089,3.5,63755
1091,5,37733
1093,4.1,37887
1095,3.4,46233
1097,4.7,43598
1099,6.2,39556
1101,4,49640
1103,3.5,52797
1105,6.5,26814
1107,4.6,37586
1109,4.5,37259
1111,4,40546
1113,4,39104
1115,3.5,57284
1117,2.9,75663
1119,5.9,27859
1121,4.3,41630
1123,4.2,42205
1125,3.7,52557
1127,4.2,45434
1129,5.8,44424
1131,9.6,25385
1133,4.2,41156
2000,6.6,74912
2013,3,70081
2016,3.5,82633
2020,5.5,82113
2050,12.8,44304
2060,6.3,77257
2068,7.8,75477
2070,8.2,54524
2090,5.8,74268
2100,9.5,58943
2105,12.6,51188
2110,4.4,79173
2122,7.7,65439
2130,6,68309
2150,5.8,74109
2158,19.9,32728
2164,11.6,49403
2170,7.6,74649
2180,11.6,55318
2185,7,89276
2188,14.2,59337
2195,8.7,66075
2198,10.9,49356
2201,,
2220,4.2,71825
2230,9.8,74635
2232,,
2240,9.6,63527
2261,7.4,68528
2275,7,57832
2280,,
2282,8.2,59523
2290,15.3,38912
4000,4.8,59079
4001,10.1,33652
4003,5.6,49164
4005,5.5,60187
4007,5.9,43585
4009,5.1,50157
4011,4.3,65818
4012,6.2,37350
4013,4.1,65234
4015,5.8,45129
4017,7.8,40650
4019,4.5,53395
4021,5,58848
4023,9.3,40545
4025,4.5,48758
4027,17,44116
5000,3.7,47094
5001,3.4,43887
5003,5.5,41127
5005,4.1,39686
5007,2.9,68978
5009,3.5,44482
5011,4.5,37729
5013,3.9,44969
5015,3.2,45023
5017,6.9,31787
5019,3.8,45408
5021,4.4,37687
5023,4.5,44902
5025,3.9,47600
5027,4.8,40909
5029,4.4,44565
5031,3.1,45615
5033,3.6,47363
5035,4.3,42606
5037,4.2,41214
5039,4.4,37259
5041,4.5,36132
5043,5,42494
5045,3.3,53882
5047,3.6,43696
5049,4,35630
5051,4,43610
5053,3.1,52050
5055,3.5,46512
5057,3.6,38682
5059,3.8,47205
5061,3.5,40199
5063,4.1,45596
5065,5.5,37828
5067,6.2,36573
5069,5.3,38596
5071,4.5,39381
5073,5.2,35527
5075,3.9,40308
5077,4.8,28080
5079,4.3,44951
5081,5.3,43559
5083,4,41471
5085,3.2,56651
5087,2.9,42674
5089,4.1,36581
5091,4.8,42162
5093,5.7,36718
5095,4.3,32922
5097,4.8,38318
5099,3.5,37626
5101,3.4,36078
5103,4.7,37624
5105,4.2,45342
5107,6.1,29945
5109,4.2,41534
5111,3.8,37370
5113,4.2,39048
5115,4.5,45788
5117,3.9,43245
5119,3.5,49957
5121,4,37799
5123,5.2,33257
5125,3.1,63677
5127,3.7,35826
5129,4.3,31659
5131,3.6,46843
5133,4.7,44100
5135,4.8,36032
5137,4.5,34009
5139,5.6,45335
5141,5.3,40486
5143,2.6,50893
5145,4.4,44811
5147,4.7,34306
5149,4.2,41729
6000,4.2,75250
6001,3,101744
6003,4.6,55384
6005,4,58515
6007,5,50945
6009,4,62984
6011,12.9,57249
6013,3.2,101463
6015,5.5,48518
6017,3.6,81869
6019,7.5,52318
6021,6.5,47365
6023,3.6,49471
6025,18.1,46633
6027,3.9,53793
6029,8,51586
6031,7.7,58255
6033,5.2,45086
6035,4.8,57705
6037,4.7,67986
6039,7,53632
6041,2.4,122933
6043,5.3,51402
6045,3.9,51386
6047,8.3,56169
6049,7.5,45227
6051,3.8,66499
6053,6.3,69665
6055,2.9,85624
6057,3.5,66681
6059,2.9,89373
6061,3.2,89175
6063,7.5,55079
6065,4.4,66793
6067,3.8,69475
6069,5.1,80063
6071,4,63310
6073,3.3,78777
6075,2.4,110601
6077,6,63567
6079,2.9,70626
6081,2.2,122930
6083,3.9,75646
6085,2.6,125933
6087,4.9,84213
6089,4.9,53908
6091,6,52308
6093,6.7,47560
6095,3.9,82808
6097,2.7,81002
6099,6.4,59616
6101,7.5,57879
6103,5.7,47572
6105,5.7,40680
6107,9.6,48763
6109,4.6,56500
6111,3.8,84170
6113,4.2,67804
6115,6.4,47504
8000,3.3,71949
8001,3.5,70199
8003,4.2,42897
8005,3.2,76665
8007,3.4,53337
8009,1.8,38294
8011,3.2,37659
8013,2.8,83591
8014,2.9,96924
8015,2.7,56168
8017,1.8,54504
8019,3,74019
8021,4.4,38777
8023,4.3,31557
8025,4.4,35880
8027,3.7,55242
8029,3.9,46786
8031,3.2,68069
8033,2.8,47482
8035,2.9,120670
8037,2.7,86896
8039,2.8,98247
8041,3.9,67923
8043,5.2,47885
8045,3.2,74421
8047,2.5,72949
8049,2.7,69214
8051,2.6,61268
8053,2.6,62149
8055,6.5,38242
8057,2.6,51457
8059,3,85550
8061,1.8,44704
8063,2,48342
8065,2.6,51802
8067,3,66219
8069,2.8,71306
8071,4.7,41485
8073,2.4,46690
8075,2.9,53168
8077,4.1,51132
8079,2.6,60210
8081,3.7,59500
8083,4.7,50180
8085,3.7,52576
8087,2.9,55387
8089,5,40064
8091,3.5,68900
8093,2.9,72121
8095,1.9,52367
8097,3.8,89034
8099,3.3,42455
8101,4.9,48308
8103,4.4,63411
8105,4.8,44171
8107,2.7,81033
8109,4.6,36869
8111,3.1,46878
8113,3.5,69458
8115,2.6,40009
8117,2.2,80078
8119,3.7,64850
8121,2.4,47869
8123,3,75629
8125,2,53253
9000,4.1,76366
9001,4,91183
9003,4.2,73037
9005,3.8,76304
