countyFIP,white percent,black percent,american indian percent,asian percent,pacific island percent,two or more percent
1001,0.7673,0.1963,0.0048,0.0122,0.0011,0.0183
1003,0.8729,0.0894,0.0077,0.0115,0.0007,0.0178
1005,0.4907,0.4840,0.0066,0.0045,0.0018,0.0123
1007,0.7683,0.2129,0.0044,0.0024,0.0012,0.0108
1009,0.9588,0.0164,0.0065,0.0032,0.0012,0.0138
1011,0.2625,0.7070,0.0084,0.0019,0.0075,0.0127
1013,0.5225,0.4491,0.0038,0.0132,0.0005,0.0109
1015,0.7528,0.2114,0.0054,0.0096,0.0011,0.0197
1017,0.5706,0.4000,0.0031,0.0133,0.0004,0.0126
1019,0.9303,0.0426,0.0066,0.0034,0.0003,0.0168
1021,0.8710,0.1037,0.0057,0.0049,0.0017,0.0130
1023,0.5718,0.4170,0.0019,0.0018,0.0000,0.0075
1025,0.5343,0.4462,0.0053,0.0043,0.0002,0.0096
1027,0.8321,0.1407,0.0054,0.0024,0.0000,0.0194
1029,0.9498,0.0294,0.0049,0.0022,0.0007,0.0129
1031,0.7584,0.1771,0.0141,0.0164,0.0040,0.0301
1033,0.8060,0.1621,0.0066,0.0059,0.0007,0.0187
1035,0.5163,0.4627,0.0051,0.0021,0.0003,0.0134
1037,0.6689,0.3088,0.0060,0.0014,0.0017,0.0133
1039,0.8454,0.1261,0.0069,0.0047,0.0001,0.0168
1041,0.7279,0.2347,0.0063,0.0112,0.0004,0.0195
1043,0.9586,0.0134,0.0065,0.0067,0.0009,0.0140
1045,0.7378,0.2096,0.0080,0.0142,0.0021,0.0283
1047,0.2775,0.7046,0.0029,0.0058,0.0004,0.0087
1049,0.9271,0.0186,0.0203,0.0052,0.0064,0.0224
1051,0.7547,0.2146,0.0052,0.0071,0.0012,0.0173
1053,0.6202,0.3167,0.0387,0.0030,0.0006,0.0207
1055,0.8078,0.1570,0.0061,0.0083,0.0031,0.0177
1057,0.8566,0.1199,0.0047,0.0044,0.0000,0.0145
1059,0.9163,0.0455,0.0155,0.0034,0.0025,0.0168
1061,0.8722,0.0947,0.0103,0.0034,0.0007,0.0187
1063,0.1845,0.8013,0.0033,0.0027,0.0000,0.0083
1065,0.4066,0.5814,0.0025,0.0029,0.0001,0.0065
1067,0.7136,0.2628,0.0049,0.0037,0.0002,0.0147
1069,0.6906,0.2721,0.0054,0.0106,0.0009,0.0204
1071,0.9126,0.0359,0.0168,0.0059,0.0011,0.0278
1073,0.5316,0.4346,0.0029,0.0177,0.0006,0.0127
1075,0.8729,0.1059,0.0029,0.0010,0.0001,0.0172
1077,0.8698,0.1006,0.0045,0.0077,0.0006,0.0168
1079,0.7820,0.1094,0.0580,0.0023,0.0002,0.0480
1081,0.7057,0.2309,0.0037,0.0419,0.0009,0.0169
1083,0.8116,0.1385,0.0083,0.0160,0.0019,0.0237
1085,0.2592,0.7255,0.0037,0.0044,0.0004,0.0068
1087,0.1696,0.8073,0.0027,0.0061,0.0002,0.0142
1089,0.6885,0.2490,0.0081,0.0268,0.0012,0.0265
1091,0.4688,0.5137,0.0024,0.0030,0.0018,0.0101
1093,0.9403,0.0388,0.0042,0.0033,0.0006,0.0128
1095,0.9300,0.0302,0.0112,0.0073,0.0027,0.0185
1097,0.5920,0.3609,0.0094,0.0207,0.0004,0.0166
1099,0.5512,0.4123,0.0134,0.0047,0.0004,0.0179
1101,0.3594,0.5901,0.0034,0.0319,0.0010,0.0142
1103,0.8279,0.1305,0.0110,0.0070,0.0015,0.0221
1105,0.3054,0.6789,0.0026,0.0060,0.0004,0.0067
1107,0.5783,0.4022,0.0024,0.0034,0.0034,0.0104
1109,0.5748,0.3768,0.0071,0.0213,0.0009,0.0191
1111,0.7784,0.1949,0.0047,0.0039,0.0011,0.0170
1113,0.4996,0.4568,0.0062,0.0088,0.0028,0.0258
1115,0.8777,0.0945,0.0036,0.0089,0.0008,0.0146
1117,0.8284,0.1306,0.0039,0.0226,0.0006,0.0139
1119,0.2525,0.7179,0.0013,0.0202,0.0003,0.0077
1121,0.6432,0.3283,0.0041,0.0066,0.0003,0.0176
1123,0.7043,0.2715,0.0043,0.0062,0.0006,0.0131
1125,0.6461,0.3207,0.0033,0.0162,0.0007,0.0129
1127,0.9096,0.0617,0.0056,0.0061,0.0011,0.0160
1129,0.6617,0.2351,0.0786,0.0090,0.0011,0.0145
1131,0.2743,0.7128,0.0023,0.0024,0.0002,0.0081
1133,0.9618,0.0087,0.0087,0.0037,0.0020,0.0150
2013,0.2057,0.1155,0.1969,0.4336,0.0119,0.0364
2016,0.3337,0.0701,0.1178,0.4122,0.0236,0.0426
2020,0.6391,0.0611,0.0887,0.1009,0.0268,0.0834
2050,0.1030,0.0092,0.8379,0.0096,0.0024,0.0380
2060,0.4538,0.0103,0.3261,0.0137,0.0034,0.1927
2068,0.8290,0.0214,0.0529,0.0534,0.0005,0.0427
2070,0.1652,0.0074,0.7234,0.0090,0.0024,0.0926
2090,0.7571,0.0547,0.0791,0.0349,0.0055,0.0687
2100,0.7967,0.0065,0.1047,0.0105,0.0000,0.0816
2105,0.4872,0.0191,0.3770,0.0149,0.0005,0.1013
2110,0.6873,0.0145,0.1186,0.0703,0.0130,0.0963
2122,0.8327,0.0083,0.0796,0.0178,0.0032,0.0584
2130,0.6691,0.0106,0.1402,0.0841,0.0035,0.0925
2150,0.5520,0.0133,0.1281,0.2224,0.0096,0.0746
2158,0.0384,0.0087,0.9223,0.0049,0.0001,0.0255
2164,0.2376,0.0101,0.6150,0.0315,0.0032,0.1027
2170,0.8275,0.0128,0.0686,0.0175,0.0040,0.0696
2180,0.1566,0.0083,0.7548,0.0152,0.0016,0.0635
2185,0.3271,0.0157,0.5278,0.0607,0.0176,0.0512
2188,0.1201,0.0159,0.7929,0.0082,0.0023,0.0606
2195,0.7532,0.0230,0.1099,0.0326,0.0081,0.0733
2198,0.4699,0.0056,0.4296,0.0097,0.0047,0.0805
2220,0.6491,0.0101,0.1633,0.0812,0.0042,0.0922
2230,0.8598,0.0070,0.0514,0.0253,0.0035,0.0531
2240,0.7738,0.0199,0.1256,0.0236,0.0046,0.0525
2261,0.7245,0.0106,0.1422,0.0477,0.0057,0.0694
2275,0.6916,0.0048,0.1654,0.0332,0.0008,0.1043
2282,0.3593,0.0199,0.3957,0.0679,0.0132,0.1440
2290,0.2311,0.0098,0.6959,0.0039,0.0013,0.0580
4001,0.2237,0.0057,0.7495,0.0045,0.0004,0.0161
4003,0.8771,0.0462,0.0176,0.0227,0.0042,0.0322
4005,0.6567,0.0146,0.2759,0.0206,0.0018,0.0303
4007,0.7852,0.0084,0.1784,0.0094,0.0015,0.0171
4009,0.8173,0.0179,0.1363,0.0069,0.0021,0.0195
4011,0.9016,0.0210,0.0410,0.0095,0.0012,0.0257
4012,0.7651,0.0121,0.1819,0.0097,0.0014,0.0298
4013,0.8305,0.0625,0.0281,0.0460,0.0029,0.0300
4015,0.9178,0.0129,0.0302,0.0124,0.0025,0.0241
4017,0.5042,0.0101,0.4562,0.0069,0.0011,0.0215
4019,0.8489,0.0416,0.0433,0.0340,0.0023,0.0298
4021,0.8283,0.0519,0.0665,0.0192,0.0043,0.0298
4023,0.9570,0.0094,0.0141,0.0076,0.0015,0.0104
4025,0.9344,0.0088,0.0212,0.0118,0.0015,0.0223
4027,0.9120,0.0269,0.0227,0.0159,0.0025,0.0200
5001,0.7209,0.2487,0.0036,0.0083,0.0004,0.0180
5003,0.7260,0.2491,0.0071,0.0025,0.0010,0.0142
5005,0.9659,0.0040,0.0079,0.0052,0.0006,0.0163
5007,0.8867,0.0203,0.0188,0.0408,0.0072,0.0261
5009,0.9586,0.0043,0.0087,0.0069,0.0011,0.0204
5011,0.6872,0.2767,0.0152,0.0046,0.0005,0.0159
5013,0.7569,0.2136,0.0070,0.0028,0.0002,0.0195
5015,0.9309,0.0081,0.0132,0.0154,0.0107,0.0217
5017,0.4329,0.5431,0.0047,0.0075,0.0004,0.0114
5019,0.7259,0.2447,0.0065,0.0064,0.0005,0.0160
5021,0.9706,0.0077,0.0051,0.0020,0.0002,0.0144
5023,0.9668,0.0043,0.0075,0.0050,0.0004,0.0160
5025,0.8624,0.1159,0.0051,0.0016,0.0004,0.0146
5027,0.6113,0.3591,0.0059,0.0107,0.0004,0.0126
5029,0.8476,0.1145,0.0088,0.0046,0.0003,0.0242
5031,0.8014,0.1624,0.0054,0.0125,0.0006,0.0177
5033,0.9086,0.0161,0.0256,0.0165,0.0006,0.0326
5035,0.4345,0.5403,0.0038,0.0067,0.0006,0.0140
5037,0.7445,0.2289,0.0041,0.0076,0.0005,0.0145
5039,0.5597,0.4134,0.0063,0.0024,0.0006,0.0177
5041,0.4935,0.4805,0.0043,0.0063,0.0015,0.0140
5043,0.6947,0.2802,0.0055,0.0068,0.0003,0.0124
5045,0.8356,0.1217,0.0068,0.0131,0.0008,0.0221
5047,0.9455,0.0097,0.0143,0.0104,0.0020,0.0181
5049,0.9642,0.0067,0.0078,0.0033,0.0002,0.0178
5051,0.8704,0.0874,0.0076,0.0088,0.0007,0.0251
5053,0.9468,0.0279,0.0052,0.0041,0.0007,0.0153
5055,0.9520,0.0183,0.0061,0.0040,0.0040,0.0156
5057,0.6610,0.3021,0.0070,0.0055,0.0019,0.0225
5059,0.8547,0.1131,0.0064,0.0041,0.0007,0.0209
5061,0.7490,0.2101,0.0157,0.0056,0.0011,0.0185
5063,0.9408,0.0234,0.0081,0.0081,0.0023,0.0173
5065,0.9501,0.0207,0.0086,0.0052,0.0001,0.0152
5067,0.7896,0.1772,0.0073,0.0052,0.0020,0.0188
5069,0.4013,0.5713,0.0042,0.0087,0.0011,0.0135
5071,0.9174,0.0229,0.0117,0.0248,0.0013,0.0218
5073,0.6122,0.3628,0.0057,0.0052,0.0007,0.0133
5075,0.9642,0.0120,0.0059,0.0032,0.0004,0.0143
5077,0.4323,0.5418,0.0059,0.0059,0.0002,0.0139
5079,0.6732,0.3044,0.0053,0.0032,0.0001,0.0138
5081,0.7547,0.1984,0.0166,0.0047,0.0007,0.0248
5083,0.9298,0.0155,0.0116,0.0240,0.0002,0.0189
5085,0.8980,0.0635,0.0071,0.0094,0.0008,0.0213
5087,0.9426,0.0090,0.0169,0.0081,0.0050,0.0183
5089,0.9562,0.0056,0.0094,0.0067,0.0006,0.0215
5091,0.7136,0.2524,0.0084,0.0050,0.0007,0.0199
5093,0.6178,0.3570,0.0045,0.0049,0.0003,0.0154
5095,0.5633,0.4003,0.0070,0.0072,0.0000,0.0222
5097,0.9384,0.0081,0.0133,0.0160,0.0003,0.0239
5099,0.6639,0.3096,0.0041,0.0053,0.0002,0.0168
5101,0.9530,0.0058,0.0128,0.0040,0.0001,0.0243
5103,0.5668,0.4019,0.0047,0.0047,0.0004,0.0216
5105,0.9456,0.0203,0.0097,0.0033,0.0003,0.0209
5107,0.3575,0.6204,0.0036,0.0050,0.0001,0.0133
5109,0.9267,0.0341,0.0115,0.0077,0.0004,0.0196
5111,0.8910,0.0843,0.0041,0.0030,0.0004,0.0173
5113,0.9366,0.0063,0.0212,0.0103,0.0005,0.0250
5115,0.9215,0.0337,0.0095,0.0126,0.0009,0.0219
5117,0.8633,0.1175,0.0042,0.0014,0.0007,0.0129
5119,0.5746,0.3754,0.0045,0.0233,0.0005,0.0217
5121,0.9498,0.0102,0.0061,0.0041,0.0130,0.0168
5123,0.4398,0.5294,0.0079,0.0064,0.0007,0.0159
5125,0.8837,0.0806,0.0063,0.0134,0.0007,0.0154
5127,0.9099,0.0068,0.0270,0.0328,0.0005,0.0231
5129,0.9511,0.0054,0.0157,0.0040,0.0003,0.0235
5131,0.8196,0.0692,0.0241,0.0474,0.0021,0.0377
5133,0.8813,0.0415,0.0333,0.0064,0.0110,0.0266
5135,0.9545,0.0092,0.0100,0.0055,0.0007,0.0201
5137,0.9628,0.0043,0.0093,0.0047,0.0004,0.0185
5139,0.6408,0.3289,0.0054,0.0072,0.0006,0.0171
5141,0.9619,0.0064,0.0100,0.0037,0.0002,0.0178
5143,0.8664,0.0367,0.0156,0.0268,0.0259,0.0286
5145,0.9183,0.0457,0.0066,0.0085,0.0007,0.0202
5147,0.7088,0.2627,0.0057,0.0028,0.0008,0.0193
5149,0.9407,0.0196,0.0109,0.0131,0.0007,0.0150
6001,0.4974,0.1116,0.0108,0.3175,0.0095,0.0533
6003,0.6994,0.0009,0.2389,0.0200,0.0000,0.0409
6005,0.8966,0.0269,0.0232,0.0174,0.0026,0.0332
6007,0.8591,0.0181,0.0248,0.0494,0.0029,0.0458
6009,0.9121,0.0098,0.0194,0.0173,0.0025,0.0388
6011,0.9119,0.0125,0.0277,0.0165,0.0059,0.0255
6013,0.6550,0.0954,0.0102,0.1802,0.0058,0.0535
6015,0.7837,0.0354,0.0932,0.0314,0.0020,0.0543
6017,0.8886,0.0105,0.0133,0.0470,0.0023,0.0383
6019,0.7670,0.0582,0.0297,0.1105,0.0028,0.0319
6021,0.8915,0.0136,0.0316,0.0310,0.0018,0.0305
6023,0.8337,0.0144,0.0632,0.0286,0.0033,0.0568
6025,0.9006,0.0337,0.0250,0.0214,0.0020,0.0173
6027,0.8004,0.0117,0.1349,0.0165,0.0017,0.0350
6029,0.8232,0.0625,0.0264,0.0536,0.0028,0.0315
6031,0.8101,0.0725,0.0317,0.0452,0.0035,0.0371
6033,0.8722,0.0205,0.0440,0.0138,0.0031,0.0465
6035,0.8112,0.0830,0.0427,0.0155,0.0090,0.0385
